condition,donor,dpi,dens,area,mean,mode,min,max,int.den,median,area,rawintden
preinf,2,7,1,7109822.902,3.606,1.687,1.538,9.987,25636333.06,3.075,100,3584.128
preinf,3,7,2,6723574.978,5.893,4.183,1.842,16.284,39619658.78,4.595,100,5539.089
preinf,4,7,3,7031142.769,2.714,2.448,1.967,4.799,19080861.34,2.503,100,2667.63
infected,2,1,4,8948076.912,1.943,1.831,1.584,3.072,17388581.5,1.864,100,2431.038
infected,3,1,5,7825096.836,8.085,2.001,1.86,25.818,63265179.92,6.949,100,8844.888
infected,4,1,6,6516145.537,3.294,2.673,2.071,7.128,21463257.86,2.823,100,3000.705
infected,2,2,7,7667736.57,4.312,1.854,1.685,14.09,33064269.35,3.8,100,4622.602
infected,3,2,8,9305713.879,6.343,2.039,1.715,25.426,59025515.86,5.154,100,8252.155
infected,4,2,9,8039679.016,21.139,2.538,2.083,48.774,169952018.6,17.347,100,23760.41
infected,2,3,10,8919465.955,9.356,1.915,1.754,29.258,83453684.45,6.177,100,11667.374
infected,3,3,11,8125511.888,16.617,1.954,1.886,36.935,135025319,19.583,100,18877.428
infected,4,3,12,7667736.57,21.509,2.403,2.157,44.134,164923460.8,24.207,100,23057.384
infected,2,6,13,9305713.879,19.067,1.964,1.871,49.59,177431284.8,14.57,100,24806.061
infected,3,6,14,14512908.12,19.736,1.955,1.835,63.184,286429311.8,8.785,100,40044.702
infected,4,6,15,8983840.609,18.064,2.087,2,46.314,162284875.5,13.425,100,22688.493
infected,2,7,16,7703500.267,22.983,2.541,1.971,60.371,177048187.7,16.009,100,24752.501
infected,3,7,17,8383010.504,22.873,1.956,1.85,56.017,191741133.3,22.121,100,26806.671
infected,4,7,18,8669120.078,13.87,2.286,2.059,40.864,120237412.3,11.352,100,16809.981
mock,2,1,19,7288641.386,2.903,2.52,2.228,23.578,21159317.77,2.595,100,2958.212
mock,3,1,20,10528832.31,2.676,2.56,2.286,17.87,28172922,2.579,100,3938.76
mock,4,1,21,8640509.12,2.999,2.681,2.181,5.262,25916042.24,2.728,100,3623.233
mock,2,2,22,9041062.523,2.353,2.162,1.954,6.586,21270242.72,2.224,100,2973.72
mock,3,2,23,8669120.078,4.801,2.165,2.072,49.815,41623109.66,3.476,100,5819.184
mock,4,2,24,9448768.666,3.721,2.841,2.169,15.936,35156772.79,3.145,100,4915.148
mock,2,3,25,7324405.082,4.312,3.474,2.077,18.718,31581170.95,3.68,100,4415.255
mock,3,3,26,7896624.229,3.517,2.779,2.155,12.458,27772734.95,3.196,100,3882.811
mock,4,3,27,9391546.751,5.379,3.333,2.288,19.536,50520942.26,4.379,100,7063.16
mock,2,6,28,8096900.931,2.859,2.349,2.01,13.596,23151843.09,2.506,100,3236.78
mock,3,6,29,7703500.267,4.733,2.745,2.144,16.809,36456892.27,3.705,100,5096.913
mock,4,6,30,9870780.287,5.091,3.115,1.923,17.572,50253457.16,4.149,100,7025.764
mock,2,7,31,9184117.31,3.176,1.88,1.845,19.807,29164700.66,2.938,100,4077.417
mock,3,7,32,9870780.287,2.91,2.2,1.94,12.203,28727016.97,2.427,100,4016.226
mock,4,7,34,9670503.585,10.504,1.969,1.821,77.33,101579891.9,5.018,100,14201.537
background,,,1,10929385.71,2.236,2.201,2.112,2.363,24434502.47,2.229,100,3416.104
background,,,2,3233038.181,1.808,1.791,1.759,1.88,5846429.54,1.81,100,817.369
background,,,3,4263032.646,1.978,1.977,1.902,2.029,8431095.096,1.981,100,1178.723
background,,,4,6981073.594,1.757,1.753,1.704,1.819,12264767.92,1.756,100,1714.695
background,,,5,7760722.182,2.132,2.134,2.069,2.186,16546197.97,2.131,100,2313.267
