experiment,culturepoint,whole.coords,focus.initiator,frame.appears,time.appears,frame.disappears,time.disappears,gfp.survival.time,,,
omicron,6,3747 x 3581,no,4,7,21,41,34,,,
omicron,6,3458 x 3811,no,4,7,26,51,44,,,
omicron,6,3074 x 3208,no,3,5,14,27,22,,,
omicron,6,1136 x 3645,no,4,7,63,125,118,might even be longer but that seems ludicrous,,
omicron,6,1167 x 3557,no,4,7,28,55,48,,,
omicron,6,3324 x 791,no,5,9,17,33,24,,,
omicron,6,3224 x 964,no,6,11,30,59,48,,,
omicron,6,3227 x 1115,no,6,11,22,43,32,,,
omicron,6,3329 x 1472,no,20,39,42,83,44,,,
omicron,6,3292 x 1491,no,18,35,37,73,38,,,
omicron,6,1704 x 3532,no,4,7,32,63,56,,,
venus,12,4059 x 1204,no,26,51,51,101,50,,,
venus,12,4144 x 1267,no,9,17,21,41,24,,,
venus,12,4341 x 2218,no,11,21,36,71,50,,,
venus,12,535 x 3005,no,60,119,78,155,36,,,
venus,12,583 x 3053,no,80,159,100,199,40,100 is end of vid- it may have lived longer if undisturbed,,
venus,12,875 x 2758,no,60,119,84,167,48,,, 
venus,12,888 x 2766,no,77,153,100,199,46,100 is end of vid- it may have lived longer if undisturbed,,
venus,12,4178 x 1345,no,16,31,,,,idk what's up with this one,,
venus,12,4365 x 2124,no,44,87,58,115,28,,,
venus,12,4361 x 2206,no,47,93,76,151,58,,,
venus,12,4109 x 1243,no,29,57,64,127,70,,,
venus,12,4233 x 1589,no,51,101,67,133,32,,,
venus,12,4203 x 1646,no,51,101,74,147,46,weirdly rollicking life,,
,,,,,,,,,,,
,,,,, ,,,,,,
